run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,
General-31-20210519-16:40:04-31491,runattr,,,configname,General,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,datetime,20210519-16:40:04,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,experiment,General,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,inifile,omnetpp.ini,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,iterationvars,,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,iterationvarsf,,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,measurement,,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,network,EarthquakeDetector,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,processid,31491,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,repetition,31,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,replication,#31,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,resultdir,results,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,runnumber,31,,,,,,
General-31-20210519-16:40:04-31491,runattr,,,seedset,31,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,configname,General,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,datetime,20210519-16:40:09,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,experiment,General,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,inifile,omnetpp.ini,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,iterationvars,,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,iterationvarsf,,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,measurement,,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,network,EarthquakeDetector,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,processid,31536,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,repetition,40,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,replication,#40,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,resultdir,results,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,runnumber,40,,,,,,
General-40-20210519-16:40:09-31536,runattr,,,seedset,40,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,configname,General,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,datetime,20210519-16:40:56,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,experiment,General,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,inifile,omnetpp.ini,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,iterationvars,,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,iterationvarsf,,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,measurement,,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,network,EarthquakeDetector,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,processid,32057,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,repetition,143,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,replication,#143,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,resultdir,results,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,runnumber,143,,,,,,
General-143-20210519-16:40:56-32057,runattr,,,seedset,143,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,configname,General,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,datetime,20210519-16:40:56,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,experiment,General,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,inifile,omnetpp.ini,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,iterationvars,,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,iterationvarsf,,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,measurement,,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,network,EarthquakeDetector,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,processid,32052,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,repetition,142,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,replication,#142,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,resultdir,results,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,runnumber,142,,,,,,
General-142-20210519-16:40:56-32052,runattr,,,seedset,142,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,configname,General,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,datetime,20210519-16:41:06,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,experiment,General,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,inifile,omnetpp.ini,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,iterationvars,,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,iterationvarsf,,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,measurement,,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,network,EarthquakeDetector,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,processid,32162,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,repetition,164,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,replication,#164,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,resultdir,results,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,runnumber,164,,,,,,
General-164-20210519-16:41:06-32162,runattr,,,seedset,164,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,configname,General,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,datetime,20210519-16:41:07,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,experiment,General,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,inifile,omnetpp.ini,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,iterationvars,,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,iterationvarsf,,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,measurement,,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,network,EarthquakeDetector,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,processid,32167,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,repetition,165,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,replication,#165,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,resultdir,results,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,runnumber,165,,,,,,
General-165-20210519-16:41:07-32167,runattr,,,seedset,165,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,configname,General,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,datetime,20210519-16:40:57,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,experiment,General,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,inifile,omnetpp.ini,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,iterationvars,,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,iterationvarsf,,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,measurement,,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,network,EarthquakeDetector,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,processid,32062,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,repetition,144,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,replication,#144,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,resultdir,results,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,runnumber,144,,,,,,
General-144-20210519-16:40:57-32062,runattr,,,seedset,144,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,configname,General,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,datetime,20210519-16:41:06,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,experiment,General,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,inifile,omnetpp.ini,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,iterationvars,,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,iterationvarsf,,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,measurement,,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,network,EarthquakeDetector,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,processid,32157,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,repetition,163,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,replication,#163,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,resultdir,results,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,runnumber,163,,,,,,
General-163-20210519-16:41:06-32157,runattr,,,seedset,163,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,configname,General,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,datetime,20210519-16:41:07,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,experiment,General,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,inifile,omnetpp.ini,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,iterationvars,,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,iterationvarsf,,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,measurement,,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,network,EarthquakeDetector,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,processid,32172,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,repetition,166,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,replication,#166,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,resultdir,results,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,runnumber,166,,,,,,
General-166-20210519-16:41:07-32172,runattr,,,seedset,166,,,,,,
General-168-20210519-16:41:08-32182,runattr,,,configname,General,,,,,,
