run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-86-20210519-11:43:31-23571,runattr,,,configname,General,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,datetime,20210519-11:43:31,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,experiment,General,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,inifile,omnetpp.ini,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,iterationvars,,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,iterationvarsf,,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,measurement,,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,network,EarthquakeDetector,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,processid,23571,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,repetition,86,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,replication,#86,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,resultdir,results,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,runnumber,86,,,,,,,
General-86-20210519-11:43:31-23571,runattr,,,seedset,86,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,configname,General,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,datetime,20210519-11:43:32,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,experiment,General,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,inifile,omnetpp.ini,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,iterationvars,,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,iterationvarsf,,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,measurement,,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,network,EarthquakeDetector,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,processid,23576,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,repetition,87,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,replication,#87,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,resultdir,results,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,runnumber,87,,,,,,,
General-87-20210519-11:43:32-23576,runattr,,,seedset,87,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,configname,General,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,datetime,20210519-11:43:30,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,experiment,General,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,inifile,omnetpp.ini,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,iterationvars,,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,iterationvarsf,,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,measurement,,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,network,EarthquakeDetector,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,processid,23560,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,repetition,84,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,replication,#84,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,resultdir,results,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,runnumber,84,,,,,,,
General-84-20210519-11:43:30-23560,runattr,,,seedset,84,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,configname,General,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,datetime,20210519-11:43:30,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,experiment,General,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,inifile,omnetpp.ini,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,iterationvars,,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,iterationvarsf,,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,measurement,,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,network,EarthquakeDetector,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,processid,23566,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,repetition,85,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,replication,#85,,,,,,,
General-85-20210519-11:43:30-23566,runattr,,,resultdir,results,,,,,,,
