run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-18-20210518-20:52:15-21162,runattr,,,configname,General,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,datetime,20210518-20:52:15,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,experiment,General,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,iterationvars,,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,iterationvarsf,,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,measurement,,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,network,EarthquakeDetector,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,processid,21162,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,repetition,18,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,replication,#18,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,resultdir,results,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,runnumber,18,,,,,,,,
General-18-20210518-20:52:15-21162,runattr,,,seedset,18,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,configname,General,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,datetime,20210518-20:52:06,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,experiment,General,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,iterationvars,,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,iterationvarsf,,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,measurement,,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,network,EarthquakeDetector,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,processid,21101,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,repetition,16,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,replication,#16,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,resultdir,results,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,runnumber,16,,,,,,,,
General-16-20210518-20:52:06-21101,runattr,,,seedset,16,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,configname,General,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,datetime,20210518-20:52:10,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,experiment,General,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,iterationvars,,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,iterationvarsf,,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,measurement,,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,network,EarthquakeDetector,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,processid,21136,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,repetition,17,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,replication,#17,,,,,,,,
General-17-20210518-20:52:10-21136,runattr,,,resultdir,results,,,,,,,,
